Last updated Sep 1, 2005 4:58:41 PM ET  31.847586206896555
Last updated Sep 1, 2005 4:58:41 PM ET  31.88693965517242
Last updated Sep 1, 2005 4:58:41 PM ET  31.512492917847
Last updated Sep 1, 2005 4:58:41 PM ET  31.404535864978865
Last updated Sep 1, 2005 4:58:41 PM ET  31.354336134453753
Last updated Sep 1, 2005 4:58:41 PM ET  31.354336134453753
Last updated Sep 1, 2005 4:58:41 PM ET  31.847586206896555
Last updated Sep 1, 2005 4:58:41 PM ET  31.88693965517242
Last updated Sep 1, 2005 4:58:41 PM ET  31.512492917847
Last updated Sep 1, 2005 4:58:41 PM ET  31.404535864978865
Last updated Sep 1, 2005 4:58:41 PM ET  31.354336134453753
Last updated Sep 1, 2005 4:58:41 PM ET  31.354336134453753
Last updated Sep 1, 2005 4:58:41 PM ET  31.847586206896555
Last updated Sep 1, 2005 4:58:41 PM ET  31.847586206896555
Last updated Sep 1, 2005 4:58:41 PM ET  31.88693965517242
Last updated Sep 1, 2005 4:58:41 PM ET  31.512492917847
Last updated Sep 1, 2005 4:58:41 PM ET  31.404535864978865
Last updated Sep 1, 2005 4:58:41 PM ET  31.354336134453753
Last updated Sep 1, 2005 4:58:41 PM ET  31.354336134453753
Last updated Sep 1, 2005 4:58:41 PM ET  31.847586206896555
Last updated Sep 1, 2005 4:58:41 PM ET  31.88693965517242
Last updated Sep 1, 2005 4:58:41 PM ET  31.512492917847
Last updated Sep 1, 2005 4:58:41 PM ET  31.404535864978865
Last updated Sep 1, 2005 4:58:41 PM ET  31.354336134453753
Last updated Sep 1, 2005 4:58:41 PM ET  31.354336134453753
